id;name;host_id;host_name;neighbourhood;room_type; price ;minimum_nights;number_of_reviews;days open
27531;Eveland Private Bed & Living Room w/ Own Entrance;118971;Evelyn;South Slope;Private room; $99,00 ;2;354;20
27644;Sugar Hill Rest Stop ;119510;Emma;Harlem;Entire home/apt; $170,00 ;2;195;318
27659;3 Story Town House in Park Slope;119588;Vero;South Slope;Entire home/apt; $400,00 ;2;16;216
27759;apartment next to Central park;119900;Sylvie;Upper West Side;Entire home/apt; $170,00 ;7;13;224
27883;East Village Sanctuary;120223;Jen;East Village;Entire home/apt; $100,00 ;4;25;0
28321;Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.;65091;Kay;Prospect-Lefferts Gardens;Private room; $75,00 ;2;9;324
28396;Modern Apt with Spectacular Views;6197784;Jo;Williamsburg;Private room; $90,00 ;1;9;245
28907;Garden studio in the Upper East Sid;124352;Lisa;Upper East Side;Entire home/apt; $150,00 ;5;21;189
29012;Secluded Master Bedroom in Beautiful Huge Apt;124797;Fernando And Lenin;Washington Heights;Private room; $85,00 ;15;36;307
29013;B & B Room 1;35935;Angela;Bedford-Stuyvesant;Private room; $70,00 ;3;63;310
29455;ACCOMMODATIONS GALORE #1;126607;Laurine;Harlem;Entire home/apt; $120,00 ;3;155;213
29628;Sunny Room in New Condo;127608;Chris;Clinton Hill;Private room; $89,00 ;3;260;278
29683;Stylish & Sleek Apartment Near SoHo!;125857;Uli;East Village;Entire home/apt; $185,00 ;5;73;209
30031;NYC artists’ loft with roof deck;129352;Sol;Greenpoint;Private room; $50,00 ;3;193;0
30927;Unique & Charming small 1br Apt. LES;120335;Cs;Lower East Side;Entire home/apt; $105,00 ;3;32;16
31130;Most Central Location!;117287;Lara;Hell's Kitchen;Private room; $130,00 ;2;50;234
31555;Luminous Beautiful West Village Studio;135619;Tom;West Village;Entire home/apt; $115,00 ;29;26;12
31902;Sanctuary in East Flatbush;137292;Sunder;Flatlands;Private room; $77,00 ;2;2;178
31994;Room with En Suite Bathroom & Deck;137814;Waldemar;Clinton Hill;Private room; $76,00 ;2;426;275
32023;FLAT MACDONOUGH;137974;Khem;Bedford-Stuyvesant;Entire home/apt; $125,00 ;3;227;163
32037;Huge Private  Floor at The Waverly;116599;Sahr;Clinton Hill;Private room; $135,00 ;4;84;365
32100;Modern Greenpoint, Brooklyn Apt;138579;Ali+Scott;Greenpoint;Entire home/apt; $250,00 ;29;3;34
32289;Sun-drenched, artsy modernist 1 BDRM duplex;139612;Elisabeth;Williamsburg;Entire home/apt; $199,00 ;3;10;280
32331;Sunny, Cobble Hill Apartment;139874;Sarah;Cobble Hill;Entire home/apt; $140,00 ;2;4;0
32363;Fully Furnished Basement Apartment;140025;Fredah;Flushing;Private room; $140,00 ;2;1;1
32965;FLAT MACDONOUGH GARDEN;137974;Khem;Bedford-Stuyvesant;Entire home/apt; $115,00 ;3;124;170
32969;Light filled Williamsburg Apartment;142833;Katherine;Williamsburg;Entire home/apt; $160,00 ;3;11;188
33009;Retreat in Williamsburg;143027;Ming;Williamsburg;Entire home/apt; $195,00 ;4;240;214
33014;NYC Zen;143048;Paula;East Village;Entire home/apt; $195,00 ;3;30;248
33223;Cozy BR in Wiliamsburg 3 Bedroom;72014;Lulú;Williamsburg;Private room; $80,00 ;3;200;262
34760;Sunny Room in Old Historical Brooklyn Townhouse;149929;Obed;Fort Greene;Private room; $44,00 ;8;27;280
35526;Sun Filled Classic West Village Apt;120291;Karen;West Village;Private room; $156,00 ;4;79;307
36121;Lg Rm in Historic Prospect Heights;62165;Michael;Prospect Heights;Private room; $85,00 ;15;9;339
36133;Classic Artist Loft Williamsburg;142684;White;Williamsburg;Private room; $125,00 ;3;155;1
36442;Great location. Spacious on PROSPECT PARK;137432;Paz;Prospect Heights;Entire home/apt; $115,00 ;15;4;269
36647;Private Bdrm/Bathrm. New! Elevator!;157798;Irene;East Harlem;Private room; $69,00 ;2;34;10
36703;Sunny, clean 1 bdrm in W. Village;158284;Karene;West Village;Entire home/apt; $225,00 ;45;134;312
36934;Great location in Williamsburg;159370;Viviana;Williamsburg;Entire home/apt; $125,00 ;6;27;189
38638;Light and Airy Upper East Side 1 BDR apartment;92788;Sara;Upper East Side;Entire home/apt; $219,00 ;4;126;290
38663;Luxury Brownstone in Boerum Hill;165789;Sarah;Boerum Hill;Entire home/apt; $475,00 ;3;23;230
39267;CENTRAL PARK LOFT all for YOU;168417;Marie;Upper East Side;Entire home/apt; $99,00 ;1;234;164
39282;Indie-Chic Share In Williamsburg;168525;Gus;Williamsburg;Private room; $69,00 ;4;202;53
39593;A room w/ a Manhattan view, longer stay;110506;Myung;Sunnyside;Private room; $79,00 ;30;28;126
39704;Private, Large & Sunny 1BR w/W&D;170510;Renée;Bedford-Stuyvesant;Entire home/apt; $135,00 ;2;309;3
40039;Luxurious Condo in DUBMO with View;171851;Henry;DUMBO;Private room; $250,00 ;3;14;189
40453;Charming & Cozy midtown loft any WEEK ENDS  !!!;174025;Sylvia;Upper East Side;Entire home/apt; $250,00 ;3;4;365
41348;* Spacious GARDEN Park Slope Duplex* 6 people max;180083;Syl;Gowanus;Entire home/apt; $250,00 ;2;80;0
41513;Convenient cozy cheap apt Manhattan;181167;Lorenzo;Harlem;Entire home/apt; $80,00 ;3;2;0
42580;Parlor Room In Victorian Townhouse;137814;Waldemar;Clinton Hill;Private room; $70,00 ;2;294;336
42729;House On Henry (2nd FLR Suite);11481;Annette;Carroll Gardens;Entire home/apt; $165,00 ;2;150;342
42882;New York room with a view;185978;Newyorkroomwithaview;St. George;Private room; $70,00 ;2;166;312
43957;Sunny cozy room in Brklyn townhouse;177536;Tessa;Bushwick;Private room; $50,00 ;2;47;37
44096;Room with a View;190409;Waundell;Highbridge;Private room; $40,00 ;1;219;353
44161;Light+Open+Airy+Rustic+Modern Loft;193360;Young;Williamsburg;Entire home/apt; $150,00 ;2;193;177
44212;West Inn 2 - East Village;72062;Bruce;East Village;Private room; $125,00 ;1;84;310
44221;Financial District Luxury Loft;193722;Coral;Financial District;Entire home/apt; $196,00 ;3;114;0
44229;BROOKLYN VICTORIAN STYLE SUITE.....;181376;Carol;Fort Greene;Private room; $110,00 ;2;213;321
44288;Your own Lovely West Village Studio;193637;Sara;West Village;Entire home/apt; $170,00 ;3;86;246
44506;ACCOMMODATIONS GALORE#3. 1-5 GUESTS;126607;Laurine;Harlem;Entire home/apt; $165,00 ;3;80;231
45393;Greenwich Village Stylish Apartment;201297;Myrna;West Village;Entire home/apt; $150,00 ;26;38;225
45542;Clean and Cozy Harlem Apartment;202249;Campbell;Harlem;Entire home/apt; $100,00 ;2;18;0
45556;Fort Greene, Brooklyn: Center Bedroom;67778;Doug;Fort Greene;Private room; $65,00 ;2;206;0
45910;Beautiful Queens Brownstone! - 5BR;204539;Mark;Ridgewood;Entire home/apt; $350,00 ;8;10;365
45936;Couldn't Be Closer To Columbia Uni;867225;Rahul;Morningside Heights;Private room; $99,00 ;4;122;233
45940;Bright Spacious Luxury Condo;204724;Miyoung;Williamsburg;Entire home/apt; $200,00 ;4;33;1
46544;Park Slope haven 15 mins from Soho;8198;Monica;Park Slope;Entire home/apt; $150,00 ;5;52;18
46723;SAFE  AND BEAUTIFUL ACCOMODATION;209460;Marylyn;Bedford-Stuyvesant;Private room; $90,00 ;3;126;343
46911;Large Room in private Brownstone in Park Slope;210746;Kathleen R.;Prospect Heights;Private room; $120,00 ;3;51;250
47199;NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO);212722;Teresa;Upper East Side;Private room; $75,00 ;3;199;326
47362;LARGE, COMFY 1BDR W/CHARACTER!!!;214148;Robert;Bedford-Stuyvesant;Entire home/apt; $175,00 ;26;30;364
47370;Chelsea Studio sublet 1 - 2 months;214287;Alex;Chelsea;Entire home/apt; $125,00 ;3;3;0
47926;LUX APT IN TIMES SQUARE NEW BUILDING;218404;Claudia;Hell's Kitchen;Entire home/apt; $275,00 ;1;41;299
48719;Designer 1 BR Duplex w/ Terrace- Spectacular Views;221873;Shane;Lower East Side;Entire home/apt; $299,00 ;2;109;207
51438;1 Bedroom in 2 Bdrm Apt- Upper East;236421;Jessica;Upper East Side;Private room; $130,00 ;14;0;0
51485;Lower East Side $57~/night;236655;Erina;Lower East Side;Private room; $83,00 ;1;285;7
51572;Prime Location in Manhattan;237329;Lee;Chelsea;Private room; $123,00 ;1;375;328
51850;( F) Excellent/Pvt Rm;27848;Jullett;Jamaica;Private room; $55,00 ;2;52;365
53137;Quiet, sunny Midtown Manhattan apt.;240360;Marlaine;Hell's Kitchen;Entire home/apt; $195,00 ;5;10;0
53196;Big Room/Washer-Dryer/Wifi/AC/JMZ;247432;Charlotte;Bedford-Stuyvesant;Private room; $80,00 ;2;11;0
53469;cozy studio with parking spot;204539;Mark;Middle Village;Entire home/apt; $98,00 ;30;33;240
53470;Clean and convenient 2BR apartment;204539;Mark;Ridgewood;Private room; $140,00 ;7;6;365
53477;3 floors of luxury!;204539;Mark;Middle Village;Entire home/apt; $265,00 ;7;38;365
54158;The Institute—Heart of Williamsburg;10889;Bob;Williamsburg;Entire home/apt; $249,00 ;2;358;164
54453;MIDTOWN WEST - Large alcove studio;255583;Anka;Hell's Kitchen;Shared room; $105,00 ;6;10;363
54466;Beautiful Uptown Manhattan apartmnt;253385;Douglas;Harlem;Private room; $200,00 ;30;0;365
54508;Sml Rm in pr Brst  Park Sl great for Med/students;210746;Kathleen R.;Prospect Heights;Private room; $100,00 ;2;226;250
54544;City Room - Private Penthouse Apt.;256161;Wayne;Harlem;Entire home/apt; $121,00 ;1;104;247
54626;Cozy bedroom by Yankee Stadium;190409;Waundell;Highbridge;Private room; $45,00 ;1;138;323
54860;Great apartment with private bathroom and entrance;258164;Jenny;East Harlem;Private room; $100,00 ;5;204;192
55467;Private Garden Apt • New Renovation;260709;Paul;Williamsburg;Entire home/apt; $140,00 ;2;253;125
55498;Modern comfort in art infused landmark Brownstone;262138;Tami;Bedford-Stuyvesant;Private room; $71,00 ;2;23;91
55668;NOHO/EAST VILLAGE, PRIVATE 1/2 BATH;88209;Jason;NoHo;Private room; $130,00 ;2;115;75
55737;Sleek & Comfortable Soho Apt;263414;Pete;West Village;Entire home/apt; $199,00 ;5;129;286
55959;Spacious Williamsburg Share w/ LOFT BED;168525;Gus;Williamsburg;Private room; $69,00 ;4;82;60
55982;Cozy 2 br in sunny Fort Greene apt;264928;Sally;Fort Greene;Private room; $68,00 ;3;37;0
56467;Cozy East Village Railroad 1 Bed!;267593;Leonardo;East Village;Entire home/apt; $130,00 ;1;204;192
56525;1 Bedroom Loft w/ Private Roof Deck;268014;Alex;Greenpoint;Entire home/apt; $195,00 ;2;69;58
56859;City Room - Private & Comfy Bedroom;256161;Wayne;Harlem;Private room; $64,00 ;1;192;245
57166;Elegant NYC Pad;272006;Vasili;Ditmars Steinway;Entire home/apt; $140,00 ;2;17;292
57297;Clean & bright 1BR in Cobble Hill, GREAT location!;199392;S.M.;Cobble Hill;Entire home/apt; $159,00 ;2;222;279
57468;Modern, Large East Village Loft;239208;Ori;East Village;Entire home/apt; $189,00 ;3;205;0
57618;Great new apt, close to everything;274557;Ana;Hell's Kitchen;Entire home/apt; $250,00 ;3;94;3
57740;Quiet & Clean Retreat in the City;275459;I;East Village;Entire home/apt; $239,00 ;3;7;351
57754;Stylish Large Gramercy Loft!;275578;R;Flatiron District;Entire home/apt; $305,00 ;2;108;201
57874;The Brownstone-Luxury 1 Bd Apt/NYC;276291;Simon;Harlem;Entire home/apt; $155,00 ;3;222;232
58059;PRIVATE Room on Historic Sugar Hill;277379;Agnes;Harlem;Private room; $60,00 ;1;458;258
58062;South Slope Green;277394;Linda;Windsor Terrace;Private room; $135,00 ;2;21;272
58467;17 Flr. Manhattan Views, Nr. Subway;279797;Dave;Roosevelt Island;Private room; $120,00 ;7;17;341
59014;Spacious 1BR, Adorable Clean Quiet;282927;Drica;Lower East Side;Entire home/apt; $150,00 ;3;41;244
59121;Nice, clean, safe, convenient 3BR;204539;Mark;Ridgewood;Entire home/apt; $140,00 ;14;1;365
59642;Franklin St Flat in Trendy Greenpoint Brooklyn;274782;Betty;Greenpoint;Entire home/apt; $135,00 ;2;69;12
59709;Artistic, Cozy, and Spacious w/ Patio! Sleeps 5;186084;Ricardo & Ashlie;Chinatown;Entire home/apt; $250,00 ;4;18;265
59855;One bedroom Apt. in NYC;288031;Leslie;Midtown;Entire home/apt; $250,00 ;30;82;0
60164;Beautiful, elegant 3 bed SOHO loft;289653;Harrison;SoHo;Entire home/apt; $500,00 ;4;94;329
60457;Spacious Greenwich Village Apt;99212;Jessica;Greenwich Village;Entire home/apt; $225,00 ;5;10;91
60611;SpaHa Studio Monthly Rental;292204;Blanca;East Harlem;Entire home/apt; $125,00 ;28;183;365
60666;City Room - Private Luxury Suite;256161;Wayne;Harlem;Private room; $92,00 ;1;189;253
60673;Private Room/bath Luxurious Harlem;249372;Cynthia;Harlem;Private room; $175,00 ;2;1;365
60680;The gem of the East Village;292630;Mich;East Village;Entire home/apt; $99,00 ;2;127;320
60794;Bright and spacious, garden below!;293394;Rachel;Upper West Side;Entire home/apt; $195,00 ;4;4;0
60948;ACCOMMODATIONS GALORE #2;126607;Laurine;East Harlem;Entire home/apt; $140,00 ;3;135;192
61167;Colorful Private One Bedroom Apt;295760;Greta;Little Italy;Entire home/apt; $135,00 ;2;21;0
61224;Huge Chelsea Loft;291112;Frank;Chelsea;Entire home/apt; $500,00 ;2;35;348
61406;Great room in great location;297176;Bethania;Harlem;Private room; $80,00 ;14;10;0
61492;Exclusive Room with Private Bath in  LES;297769;Tunji;Chinatown;Private room; $120,00 ;4;171;353
61509;Quiet, clean midtown apt w. elevato;23619;Anna/Fonzy;Midtown;Entire home/apt; $110,00 ;200;92;140
62095;BK Sweet Suite w/Kitchen&FullBath;281764;Colette&Sean;East Flatbush;Entire home/apt; $65,00 ;3;238;2
62427;Great East Village Apartment Rental;303882;Brie;East Village;Entire home/apt; $130,00 ;50;56;56
62430;BROWNSTONE SUNDRENCHED BEAUTY;197755;Sheila;Bushwick;Entire home/apt; $99,00 ;3;111;68
62452;A SpeciaL!! Private Room in NY;303939;Lissette;Tompkinsville;Private room; $36,00 ;2;193;360
62461;B NYC Staten Alternative...;303939;Lissette;Tompkinsville;Private room; $37,00 ;2;147;0
62787;C Private Room By The Ferry;303939;Lissette;Tompkinsville;Private room; $37,00 ;2;177;320
62891;Smallest House In The Village;306545;Olivia;East Village;Entire home/apt; $175,00 ;3;185;326
62903;Beautiful modern studio apartment in heart of NYC;306605;Daniel;Chelsea;Entire home/apt; $205,00 ;9;62;76
62925;Beautiful Landmarked Duplex;306739;Maya;Greenpoint;Entire home/apt; $285,00 ;3;124;279
63299;BROOKLYN > Guest Room w/ Queen Bed in Williamsburg;308875;Scott;Williamsburg;Private room; $59,00 ;2;181;15
